x,y,z
0,0,0.0
0,1,0.3420201433256687
0,2,0.6427876096865393
0,3,0.8660254037844386
0,4,0.984807753012208
0,5,0.984807753012208
0,6,0.8660254037844387
0,7,0.6427876096865395
0,8,0.3420201433256689
0,9,1.2246467991473532e-16
0,10,-0.34202014332566866
0,11,-0.6427876096865393
0,12,-0.8660254037844384
0,13,-0.9848077530122079
0,14,-0.9848077530122082
0,15,-0.8660254037844395
0,16,-0.6427876096865409
0,17,-0.3420201433256711
0,18,-2.9094646189298464e-15
0,19,0.3420201433256656
0,20,0.6427876096865365
0,21,0.8660254037844366
0,22,0.9848077530122072
0,23,0.9848077530122088
0,24,0.8660254037844409
0,25,0.642787609686543
0,26,0.3420201433256737
0,27,5.696464557944958e-15
0,28,-0.342020143325663
0,29,-0.6427876096865344
0,30,-0.8660254037844352
0,31,-0.9848077530122068
0,32,-0.9848077530122094
0,33,-0.8660254037844427
0,34,-0.6427876096865459
0,35,-0.34202014332567715
0,36,-9.371642916660193e-15
0,37,0.34202014332565955
0,38,0.6427876096865315
0,39,0.8660254037844334
0,40,0.9848077530122061
0,41,0.98480775301221
0,42,0.8660254037844446
0,43,0.6427876096865487
0,44,0.3420201433256806
0,45,1.304682127537543e-14
0,46,-0.3420201433256578
0,47,-0.64278760968653
0,48,-0.8660254037844324
0,49,-0.9848077530122058
0,50,-0.9848077530122104
0,51,-0.8660254037844455
0,52,-0.6427876096865501
0,53,-0.34202014332568237
0,54,-1.4945642794690415e-14
0,55,0.3420201433256543
0,56,0.6427876096865273
0,57,0.8660254037844306
0,58,0.9848077530122051
0,59,0.984807753012211
0,60,0.8660254037844474
0,61,0.642787609686553
0,62,0.34202014332568587
0,63,1.862082115340565e-14
0,64,-0.34202014332565084
0,65,-0.6427876096865245
0,66,-0.8660254037844287
0,67,-0.9848077530122046
0,68,-0.9848077530122117
0,69,-0.8660254037844491
0,70,-0.6427876096865558
0,71,-0.3420201433256893
0,72,-2.2295999512120887e-14
0,73,0.3420201433256474
0,74,0.6427876096865216
0,75,0.8660254037844269
0,76,0.9848077530122039
0,77,0.9848077530122122
0,78,0.866025403784451
0,79,0.6427876096865586
0,80,0.34202014332569275
0,81,2.5971177870836123e-14
0,82,-0.34202014332564395
0,83,-0.6427876096865188
0,84,-0.866025403784425
0,85,-0.9848077530122032
0,86,-0.9848077530122129
0,87,-0.8660254037844528
0,88,-0.6427876096865615
0,89,-0.3420201433256962
0,90,-2.964635622955136e-14
0,91,0.3420201433256405
0,92,0.6427876096865159
0,93,0.8660254037844232
0,94,0.9848077530122026
0,95,0.9848077530122136
0,96,0.8660254037844547
0,97,0.6427876096865642
0,98,0.3420201433256997
0,99,3.3321534588266595e-14
1,0,0.0
1,1,0.3420201433256687
1,2,0.6427876096865393
1,3,0.8660254037844386
1,4,0.984807753012208
1,5,0.984807753012208
1,6,0.8660254037844387
1,7,0.6427876096865395
1,8,0.3420201433256689
1,9,1.2246467991473532e-16
1,10,-0.34202014332566866
1,11,-0.6427876096865393
1,12,-0.8660254037844384
1,13,-0.9848077530122079
1,14,-0.9848077530122082
1,15,-0.8660254037844395
1,16,-0.6427876096865409
1,17,-0.3420201433256711
1,18,-2.9094646189298464e-15
1,19,0.3420201433256656
1,20,0.6427876096865365
1,21,0.8660254037844366
1,22,0.9848077530122072
1,23,0.9848077530122088
1,24,0.8660254037844409
1,25,0.642787609686543
1,26,0.3420201433256737
1,27,5.696464557944958e-15
1,28,-0.342020143325663
1,29,-0.6427876096865344
1,30,-0.8660254037844352
1,31,-0.9848077530122068
1,32,-0.9848077530122094
1,33,-0.8660254037844427
1,34,-0.6427876096865459
1,35,-0.34202014332567715
1,36,-9.371642916660193e-15
1,37,0.34202014332565955
1,38,0.6427876096865315
1,39,0.8660254037844334
1,40,0.9848077530122061
1,41,0.98480775301221
1,42,0.8660254037844446
1,43,0.6427876096865487
1,44,0.3420201433256806
1,45,1.304682127537543e-14
1,46,-0.3420201433256578
1,47,-0.64278760968653
1,48,-0.8660254037844324
1,49,-0.9848077530122058
1,50,-0.9848077530122104
1,51,-0.8660254037844455
1,52,-0.6427876096865501
1,53,-0.34202014332568237
