x,y,z
0,0,0.0
0,1,0.03489949670250097
0,2,0.0697564737441253
0,3,0.10452846326765347
0,4,0.13917310096006544
0,5,0.17364817766693033
0,6,0.20791169081775931
0,7,0.2419218955996677
0,8,0.27563735581699916
0,9,0.3090169943749474
0,10,0.3420201433256687
0,11,0.374606593415912
0,12,0.40673664307580015
0,13,0.4383711467890774
0,14,0.46947156278589075
0,15,0.49999999999999994
0,16,0.5299192642332049
0,17,0.5591929034707469
0,18,0.5877852522924732
0,19,0.6156614753256584
0,20,0.6427876096865395
0,21,0.6691306063588583
0,22,0.6946583704589975
0,23,0.7193398003386514
0,24,0.7431448254773945
0,25,0.7660444431189783
0,26,0.7880107536067222
0,27,0.8090169943749477
0,28,0.829037572555042
0,29,0.8480480961564263
0,30,0.8660254037844389
0,31,0.8829475928589272
0,32,0.8987940462991673
0,33,0.9135454576426012
0,34,0.9271838545667876
0,35,0.9396926207859086
0,36,0.9510565162951539
0,37,0.9612616959383191
0,38,0.9702957262759967
0,39,0.9781476007338058
0,40,0.9848077530122082
0,41,0.9902680687415705
0,42,0.9945218953682734
0,43,0.9975640502598243
0,44,0.9993908270190958
0,45,1.0
0,46,0.9993908270190957
0,47,0.9975640502598242
0,48,0.9945218953682732
0,49,0.9902680687415701
0,50,0.9848077530122078
0,51,0.9781476007338054
0,52,0.970295726275996
0,53,0.9612616959383185
0,54,0.9510565162951531
0,55,0.9396926207859078
0,56,0.9271838545667868
0,57,0.9135454576426001
0,58,0.8987940462991661
0,59,0.882947592858926
0,60,0.8660254037844376
0,61,0.8480480961564248
0,62,0.8290375725550405
0,63,0.8090169943749461
0,64,0.7880107536067206
0,65,0.7660444431189766
0,66,0.7431448254773927
0,67,0.7193398003386495
0,68,0.6946583704589956
0,69,0.6691306063588565
0,70,0.6427876096865375
0,71,0.6156614753256563
0,72,0.587785252292471
0,73,0.5591929034707447
0,74,0.5299192642332027
0,75,0.49999999999999767
0,76,0.46947156278588836
0,77,0.4383711467890749
0,78,0.4067366430757976
0,79,0.37460659341590935
0,80,0.34202014332566594
0,81,0.30901699437494456
0,82,0.2756373558169963
0,83,0.24192189559966473
0,84,0.20791169081775626
0,85,0.1736481776669272
0,86,0.13917310096006225
0,87,0.10452846326765021
0,88,0.06975647374412197
0,89,0.03489949670249759
0,90,-3.4302489988857658e-15
0,91,-0.034899496702504446
0,92,-0.06975647374412881
0,93,-0.10452846326765702
0,94,-0.13917310096006902
0,95,-0.17364817766693397
0,96,-0.20791169081776298
0,97,-0.24192189559967137
0,98,-0.2756373558170028
0,99,-0.3090169943749511
0,100,-0.34202014332567243
0,101,-0.3746065934159157
0,102,-0.40673664307580387
0,103,-0.43837114678908107
0,104,-0.4694715627858944
0,105,-0.5000000000000036
0,106,-0.5299192642332086
0,107,-0.5591929034707503
0,108,-0.5877852522924766
